yyyymm,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,,,,,,,,,,
201602,0.0917,0.1988,0.0729,-0.2516,-0.0602,,,,,,,,,,
201603,-0.1933,-0.1437,-0.1332,-0.4221,-0.1561,,,,,,,,,,
201604,-0.1836,0.039,0.3386,-0.1748,-0.0466,,,,,,,,,,
201605,-0.0671,-0.2232,-0.1499,-0.1445,-0.1399,,,,,,,,,,
201606,0.1672,0.226,0.1562,0.3663,0.0737,,,,,,,,,,
201607,-0.0191,-0.1643,0.1611,-0.1158,0.0131,,,,,,,,,,
201608,-0.1031,-0.1492,-0.069,-0.1087,-0.1209,,,,,,,,,,
201609,-0.0486,-0.1451,-0.216,0.0232,-0.0579,,,,,,,,,,
201610,0.0576,0.0813,0.029,-0.1501,-0.1511,,,,,,,,,,
201611,0.2323,0.4721,0.056,-0.2243,-0.1486,,,,,,,,,,
201612,-0.1254,-0.0875,-0.0727,-0.126,0.0264,,,,,,,,,,
201701,-0.215,-0.158,-0.2023,-0.188,-0.1597,,,,,,,,,,
201702,-0.0978,-0.3181,-0.0672,-0.2739,0.0766,,,,,,,,,,
201703,-0.1682,-0.1566,-0.0604,-0.1365,-0.198,,,,,,,,,,
201704,-0.0468,-0.0459,-0.108,-0.1264,-0.2064,,,,,,,,,,
201705,-0.1077,0.0958,-0.0904,-0.14,-0.0551,,,,,,,,,,
201706,-0.0915,-0.0648,0.0017,0.0979,-0.1204,,,,,,,,,,
201707,-0.1548,0.1224,-0.054,-0.2614,-0.2701,,,,,,,,,,
201708,-0.0201,-0.1978,0.0604,-0.2408,-0.3044,,,,,,,,,,
201709,-0.1157,0.0329,-0.1389,0.0343,-0.1848,,,,,,,,,,
201710,-0.1554,-0.0239,-0.0592,-0.1542,0.0198,,,,,,,,,,
201711,-0.0806,-0.2678,-0.1222,-0.225,0.067,,,,,,,,,,
201712,-0.1131,-0.119,0.0084,-0.0732,-0.0192,,,,,,,,,,
201801,0.2099,0.5127,0.0045,-0.1239,0.1971,,,,,,,,,,
201802,-0.0921,-0.0844,0.0392,0.5013,0.2019,,,,,,,,,,
201803,-0.0055,-0.1084,-0.0895,0.0849,-0.0102,,,,,,,,,,
201804,-0.2193,0.1405,-0.0297,-0.2358,-0.1205,,,,,,,,,,
201805,0.2701,0.2908,-0.1524,-0.0748,-0.0662,,,,,,,,,,
201806,-0.1438,-0.0883,0.3065,-0.0955,-0.0009,,,,,,,,,,
201807,-0.1983,-0.1793,-0.0351,-0.1795,-0.1612,,,,,,,,,,
201808,0.0425,0.1179,0.0117,-0.0896,-0.0044,,,,,,,,,,
201809,-0.0565,-0.0327,-0.0485,-0.1728,-0.1353,,,,,,,,,,
201810,-0.0251,0.0658,-0.0542,0.0015,0.45,,,,,,,,,,
201811,-0.1553,-0.1593,0.0662,-0.1629,-0.0916,,,,,,,,,,
201812,0.2617,-0.017,-0.0278,0.0123,0.1884,,,,,,,,,,
201901,0.0827,-0.206,-0.1934,-0.2276,-0.1629,,,,,,,,,,
201902,-0.0179,-0.1224,-0.0593,-0.059,0.1653,,,,,,,,,,
201903,0.3403,-0.04,0.0274,0.0991,-0.0467,,,,,,,,,,
201904,-0.226,-0.1696,0.0969,0.0028,-0.0159,,,,,,,,,,
201905,0.425,0.0648,0.3881,0.1234,-0.0579,,,,,,,,,,
201906,0.0737,-0.0529,0.0897,0.2081,0.0349,,,,,,,,,,
201907,0.046,0.0164,-0.0713,-0.1847,0.0336,,,,,,,,,,
201908,0.6088,0.0104,0.1154,-0.0905,-0.1597,,,,,,,,,,
201909,-0.1365,-0.1281,-0.0189,0.0013,-0.1154,,,,,,,,,,
201910,-0.0496,-0.2011,-0.159,-0.1221,-0.2299,,,,,,,,,,
201911,-0.0516,-0.0865,-0.0191,-0.1723,0.0674,,,,,,,,,,
201912,0.1072,0.03,0.0426,-0.2618,0.037,,,,,,,,,,
202001,0.058,-0.1887,-0.0714,-0.0242,0.0454,,,,,,,,,,
202002,0.3198,0.372,0.2219,0.6439,0.8349,,,,,,,,,,
202003,1.047,0.9984,0.7542,0.3836,0.885,,,,,,,,,,
202004,-0.1138,-0.1536,0.0373,0.1183,-0.1383,,,,,,,,,,
202005,-0.1338,-0.0346,-0.0386,0.0025,-0.0298,,,,,,,,,,
202006,0.0355,0.04,-0.0936,-0.1876,-0.0135,,,,,,,,,,
202007,-0.0213,0.3971,0.1262,0.014,-0.1999,,,,,,,,,,
202008,-0.0845,-0.0266,0.1397,-0.2089,-0.0737,,,,,,,,,,
202009,-0.186,-0.0423,0.0733,-0.1549,-0.0798,,,,,,,,,,
202010,0.0285,-0.1861,0.0222,-0.1692,-0.066,,,,,,,,,,
202011,-0.1555,-0.2604,0.0048,-0.2954,0.0088,,,,,,,,,,
202012,-0.1644,-0.0236,0.1811,-0.0074,-0.0149,,,,,,,,,,
202101,-0.1183,-0.211,0.1193,-0.1761,0.0274,,,,,,,,,,
202102,1.2577,0.1143,-0.101,-0.0302,-0.2077,,,,,,,,,,
202103,-0.0068,0.098,-0.1505,-0.3068,-0.2402,,,,,,,,,,
202104,-0.0825,-0.264,0.0936,-0.2393,0.1102,,,,,,,,,,
202105,-0.1205,0.0224,0.0086,0.1671,-0.0581,,,,,,,,,,
202106,0.0466,0.0401,0.0035,-0.1977,-0.1223,,,,,,,,,,
202107,0.4082,-0.1779,-0.18,-0.0894,-0.0397,,,,,,,,,,
202108,0.1905,-0.1348,-0.1095,-0.3189,-0.1086,,,,,,,,,,
202109,0.1713,0.0495,-0.0311,0.1479,-0.0565,,,,,,,,,,
